/usr/bin/python3.5 /home/david/PycharmProjects/TestPycharm/questionSoftmax0816.py
Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
WARNING:tensorflow:From /usr/local/lib/python3.5/dist-packages/tensorflow/python/util/tf_should_use.py:175: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
2017-10-16 14:58:00.010721: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
step 1837, training accuracy :0.94
step 1838, training accuracy :1.0
step 1839, training accuracy :0.98
step 1840, training accuracy :0.92
step 1841, training accuracy :0.94
step 1842, training accuracy :1.0
step 1843, training accuracy :0.92
step 1844, training accuracy :1.0
step 1845, training accuracy :0.98
step 1846, training accuracy :0.94
step 1847, training accuracy :0.96
step 1848, training accuracy :0.96
step 1849, training accuracy :0.92
step 1850, training accuracy :1.0
step 1851, training accuracy :0.94
step 1852, training accuracy :0.92
step 1853, training accuracy :0.96
step 1854, training accuracy :0.98
step 1855, training accuracy :0.98
step 1856, training accuracy :1.0
step 1857, training accuracy :1.0
step 1858, training accuracy :0.98
step 1859, training accuracy :0.96
step 1860, training accuracy :0.96
step 1861, training accuracy :0.98
step 1862, training accuracy :0.98
step 1863, training accuracy :0.98
step 1864, training accuracy :0.96
step 1865, training accuracy :1.0
step 1866, training accuracy :1.0
step 1867, training accuracy :0.94
step 1868, training accuracy :1.0
step 1869, training accuracy :0.96
step 1870, training accuracy :0.98
step 1871, training accuracy :0.92
step 1872, training accuracy :0.92
step 1873, training accuracy :0.94
step 1874, training accuracy :0.94
step 1875, training accuracy :0.98
step 1876, training accuracy :0.98
step 1877, training accuracy :0.96
step 1878, training accuracy :0.98
step 1879, training accuracy :1.0
step 1880, training accuracy :0.94
step 1881, training accuracy :1.0
step 1882, training accuracy :0.96
step 1883, training accuracy :0.98
step 1884, training accuracy :1.0
step 1885, training accuracy :0.98
step 1886, training accuracy :0.96
step 1887, training accuracy :0.98
step 1888, training accuracy :0.98
step 1889, training accuracy :1.0
step 1890, training accuracy :0.96
step 1891, training accuracy :0.98
step 1892, training accuracy :0.96
step 1893, training accuracy :0.98
step 1894, training accuracy :0.94
step 1895, training accuracy :0.98
step 1896, training accuracy :0.98
step 1897, training accuracy :1.0
step 1898, training accuracy :1.0
step 1899, training accuracy :0.98
step 1900, training accuracy :1.0
step 1901, training accuracy :0.98
step 1902, training accuracy :0.94
step 1903, training accuracy :1.0
step 1904, training accuracy :0.98
step 1905, training accuracy :0.98
step 1906, training accuracy :1.0
step 1907, training accuracy :0.98
step 1908, training accuracy :0.98
step 1909, training accuracy :1.0
step 1910, training accuracy :0.98
step 1911, training accuracy :0.94
step 1912, training accuracy :0.96
step 1913, training accuracy :0.94
step 1914, training accuracy :0.98
step 1915, training accuracy :0.88
step 1916, training accuracy :0.98
step 1917, training accuracy :1.0
step 1918, training accuracy :0.98
step 1919, training accuracy :0.98
step 1920, training accuracy :1.0
step 1921, training accuracy :0.98
step 1922, training accuracy :0.96
step 1923, training accuracy :0.98
step 1924, training accuracy :1.0
step 1925, training accuracy :0.98
step 1926, training accuracy :0.94
step 1927, training accuracy :0.96
step 1928, training accuracy :1.0
step 1929, training accuracy :0.96
step 1930, training accuracy :0.98
step 1931, training accuracy :0.94
step 1932, training accuracy :1.0
step 1933, training accuracy :1.0
step 1934, training accuracy :1.0
step 1935, training accuracy :0.98
step 1936, training accuracy :0.92
step 1937, training accuracy :0.96
step 1938, training accuracy :0.96
step 1939, training accuracy :0.94
step 1940, training accuracy :0.98
step 1941, training accuracy :0.92
step 1942, training accuracy :0.98
step 1943, training accuracy :0.94
step 1944, training accuracy :0.98
step 1945, training accuracy :0.98
step 1946, training accuracy :0.96
step 1947, training accuracy :0.96
step 1948, training accuracy :0.94
step 1949, training accuracy :1.0
step 1950, training accuracy :0.98
step 1951, training accuracy :1.0
step 1952, training accuracy :1.0
step 1953, training accuracy :0.98
step 1954, training accuracy :0.94
step 1955, training accuracy :0.98
step 1956, training accuracy :1.0
step 1957, training accuracy :0.96
step 1958, training accuracy :0.98
step 1959, training accuracy :1.0
step 1960, training accuracy :0.98
step 1961, training accuracy :0.92
step 1962, training accuracy :0.96
step 1963, training accuracy :0.96
step 1964, training accuracy :0.88
step 1965, training accuracy :0.96
step 1966, training accuracy :0.98
step 1967, training accuracy :0.98
step 1968, training accuracy :0.96
step 1969, training accuracy :0.98
step 1970, training accuracy :1.0
step 1971, training accuracy :0.96
step 1972, training accuracy :0.96
step 1973, training accuracy :1.0
step 1974, training accuracy :0.98
step 1975, training accuracy :0.98
step 1976, training accuracy :0.96
step 1977, training accuracy :0.98
step 1978, training accuracy :0.98
step 1979, training accuracy :0.92
step 1980, training accuracy :0.92
step 1981, training accuracy :0.98
step 1982, training accuracy :0.94
step 1983, training accuracy :1.0
step 1984, training accuracy :0.96
step 1985, training accuracy :0.98
step 1986, training accuracy :0.96
step 1987, training accuracy :1.0
step 1988, training accuracy :0.96
step 1989, training accuracy :0.96
step 1990, training accuracy :0.96
step 1991, training accuracy :0.98
step 1992, training accuracy :0.96
step 1993, training accuracy :0.96
step 1994, training accuracy :0.98
step 1995, training accuracy :1.0
step 1996, training accuracy :1.0
step 1997, training accuracy :0.96
step 1998, training accuracy :1.0
step 1999, training accuracy :1.0
test accuracy :0.9775


ERROR:tensorflow:==================================
Object was never used (type <class 'tensorflow.python.framework.ops.Operation'>):
<tf.Operation 'init' type=NoOp>
If you want to mark it as used call its "mark_used()" method.
It was originally created here:
['File "/home/david/PycharmProjects/TestPycharm/questionSoftmax0816.py", line 93, in <module>\n    init = tf.initialize_all_variables()', 'File "/usr/local/lib/python3.5/dist-packages/tensorflow/python/util/tf_should_use.py", line 175, in wrapped\n    return _add_should_use_warning(fn(*args, **kwargs))', 'File "/usr/local/lib/python3.5/dist-packages/tensorflow/python/util/tf_should_use.py", line 144, in _add_should_use_warning\n    wrapped = TFShouldUseWarningWrapper(x)', 'File "/usr/local/lib/python3.5/dist-packages/tensorflow/python/util/tf_should_use.py", line 101, in __init__\n    stack = [s.strip() for s in traceback.format_stack()]']
==================================

Process finished with exit code 0

